id,store_id,name,name_en,sort_order,is_active
74fe3a8f-25dc-4fcc-b702-2b5d908bab92,b10f215e-2c70-4832-a37e-a42a74406a8d,الفواكه والخضروات,Fruits & Vegetables,0,true
89df4340-b432-4803-a717-29ca5a8022a0,b10f215e-2c70-4832-a37e-a42a74406a8d,الدجاج و اللحوم,Chicken and Meat,1,true
d9053340-27cd-4d3e-bc43-fad7d180eceb,b10f215e-2c70-4832-a37e-a42a74406a8d,مستوردة,Imported,2,true
c658cd02-71a0-40ff-ae66-8aaa8eab60f9,b10f215e-2c70-4832-a37e-a42a74406a8d,المخبوزات,Bread & Bakery,3,true
3e0a00b7-9d38-4c10-a931-ec92a29fd8cf,b10f215e-2c70-4832-a37e-a42a74406a8d,منتجات الألبان والبيض,Dairy & Eggs,4,true
0eecdc1d-e6f5-4b58-b52f-617dd7a586ae,b10f215e-2c70-4832-a37e-a42a74406a8d,الحليب واللبن,Milk & Laban,5,true
cb228eb2-e4b7-4804-ade7-4f531817f2be,b10f215e-2c70-4832-a37e-a42a74406a8d,شوكولاتة,Chocolate,6,true
c3ab6183-f2cd-45ee-aaf8-12152bb9b2e9,b10f215e-2c70-4832-a37e-a42a74406a8d,أجبان وأطعمة قابلة للدهن,Cheese & Spreads,7,true
b324a43f-e04d-4491-9abb-aa312996d65c,b10f215e-2c70-4832-a37e-a42a74406a8d,الإفطار,Breakfast,8,true
02ca3bfe-9c75-497b-a972-3e2f094becc1,b10f215e-2c70-4832-a37e-a42a74406a8d,المشروبات الباردة,Cold Drinks,9,true
9b1967af-1a49-444f-a3a7-c89ebcf13194,b10f215e-2c70-4832-a37e-a42a74406a8d,الجمال و العناية الشخصية,Beauty & Personal Care,10,true
0ae183d1-a40b-4c33-8789-19097f0bcf3a,b10f215e-2c70-4832-a37e-a42a74406a8d,الآيسكريم,Ice Cream,11,true
24570822-db49-492b-91fd-049e99340677,b10f215e-2c70-4832-a37e-a42a74406a8d,المياه والثلج,Water & Ice,12,true
4550acaf-4275-4b25-a8c9-74ca36da59f7,b10f215e-2c70-4832-a37e-a42a74406a8d,المقرمشات,Salty Snacks,13,true
4b73986c-b6fe-4497-9ec0-1cac5ae5a7ba,b10f215e-2c70-4832-a37e-a42a74406a8d,المكسرات والبذور,Nuts & Seeds,14,true
99c688ba-fb5d-4ebe-a900-0013f756ea9b,b10f215e-2c70-4832-a37e-a42a74406a8d,كوكيز وبسكويت,Cookies & Biscuits,15,true
3d7e3b14-3ddb-4d3c-8d34-5732fad4f478,b10f215e-2c70-4832-a37e-a42a74406a8d,الحلوى والسكاكر,Candy & Sweets,16,true
8fd044fa-16ba-465d-8883-6703c351d1c0,b10f215e-2c70-4832-a37e-a42a74406a8d,الأطعمة الجاهزة للأكل,Ready To Eat,17,true
